name,code
Bad Sulza,16071004
Bad Sülze,13073007
Bad Teinach-Zavelstein,08235084
Bad Tennstedt,16064004
Bad Tölz,09173112
Bad Überkingen,08117007
Bad Urach,08415078
Bad Vilbel,06440003
Bad Waldsee,08436009
Bad Wiessee,09182111
Bad Wildbad,08235079
Bad Wildungen,06635003
Bad Wilsnack,12070008
Bad Wimpfen,08125007
Bad Windsheim,09575112
Bad Wörishofen,09778116
Bad Wünnenberg,05774040
Bad Wurzach,08436010
Bad Zwesten,06634027
Bad Zwischenahn,03451002
Badbergen,03459007
Baddeckenstedt,03158002
Badem,07232007
Baden-Baden,08211000
Badendorf,01062003
Badenhard,07140005
Badenheim,07339004
Badenweiler,08315007
Baesweiler,05334008
Bahlingen am Kaiserstuhl,08316002
Bahrdorf,03154001
Bahrenborstel,03251003
Bahrenfleth,01061006
Bahrenhof,01060006
Bahretal,14628040
Baienfurt,08436011
Baierbach,09274118
Baierbrunn,09184113
Baiern,09175113
Baiersbronn,08237004
Baiersdorf,09572115
Baindt,08436012
Baisweil,09777114
Bäk,01053004
Bakum,03460001
Bälau,01053005
Balderschwang,09780113
Baldringen,07235003
Balduinstein,07141503
Balesfeld,07232203
Balge,03256001
Balgheim,08327005
Balgstädt,15084025
Balingen,08417002
Balje,03359004
Ballendorf,08425013
Ballenstedt,15085040
Ballhausen,16064005
Ballrechten-Dottingen,08315008
Ballstädt,16067003
Ballstedt,16071005
Balow,13076003
Baltmannsweiler,08116007
Baltrum,03452002
Balve,05962008
Balzhausen,09774115
Balzheim,08425140
Bamberg,09461000
Bammental,08226006
Bandelin,13075006
Bandenitz,13076004
Bann,07335002
Bannberscheid,07143003
Bannewitz,14628050
Banteln,03254006
Banzkow,13076005
Barbelroth,07337006
Barbing,09375117
Barby,15089026
Barchfeld-Immelborn,16063004
Bardowick,03355004
Bärenbach,07133008
Bärenbach,07140006
Barenburg,03251004
Barendorf,03355005
Bärenstein,14521060
Bärenthal,08327004
Bargenstedt,01051004
Bargfeld-Stegen,01062005
Bargischow,13075007
Bargstall,01058010
Bargstedt,01058011
Bargstedt,03359005
Bargteheide,01062006
Bargum,01054010
Bark,01060007
Barkelsby,01058012
Barkenholm,01051005
Barkhagen,13076006
Barleben,15083040
Barlt,01051006
Barmissen,01057002
Barmstedt,01056002
Bärnau,09377112
Barnekow,13074003
Barnin,13076007
Barnitz,01062008
Barnstädt,15088030
Barnstedt,03355006
Barnstorf,03251005
Barnstorf-Warle,03158502
Barntrup,05766012
